run=1  13:19:26 up 12 days, 46 min,  5 users,  load average: 3.99, 3.37, 2.02
run=2  13:19:41 up 12 days, 46 min,  5 users,  load average: 4.39, 3.48, 2.08
run=3  13:19:46 up 12 days, 46 min,  5 users,  load average: 4.52, 3.53, 2.10
run=4  13:19:51 up 12 days, 46 min,  5 users,  load average: 4.32, 3.50, 2.10
run=5  13:19:56 up 12 days, 46 min,  5 users,  load average: 5.57, 3.77, 2.19
run=1  13:22:31 up 12 days, 49 min,  7 users,  load average: 15.08, 8.79, 4.31
run=2  13:22:44 up 12 days, 49 min,  7 users,  load average: 15.70, 9.26, 4.54
run=3  13:22:50 up 12 days, 49 min,  7 users,  load average: 17.41, 9.72, 4.72
run=4  13:22:56 up 12 days, 49 min,  7 users,  load average: 16.33, 9.63, 4.71
run=5  13:23:04 up 12 days, 50 min,  7 users,  load average: 18.07, 10.10, 4.89
run=1  13:26:09 up 12 days, 53 min,  6 users,  load average: 7.45, 8.27, 5.10
run=2  13:26:14 up 12 days, 53 min,  6 users,  load average: 7.74, 8.32, 5.13
run=3  13:26:21 up 12 days, 53 min,  6 users,  load average: 8.82, 8.52, 5.23
run=4  13:26:27 up 12 days, 53 min,  6 users,  load average: 8.27, 8.41, 5.21
run=5  13:26:32 up 12 days, 53 min,  6 users,  load average: 9.29, 8.62, 5.30
