# gemm_mma_f16_pool_wiring_bench --pooled の有無で raw/pooled を交互実行（同一バイナリ）
# format: mode,run_idx,size,median_ms,q1_ms,q3_ms,tflops
# batch 1
raw,1,4096,265.7504,259.7659,268.2815,0.5172
pooled,1,4096,267.3351,265.0644,270.2314,0.5141
raw,2,4096,268.3373,262.9070,270.5581,0.5122
pooled,2,4096,266.6284,263.3593,268.3874,0.5155
raw,3,4096,265.1520,262.7827,267.4641,0.5183
pooled,3,4096,336.1452,331.4525,337.9972,0.4089
raw,4,4096,266.1169,249.6836,267.5205,0.5165
pooled,4,4096,337.2440,325.1918,341.1931,0.4075
raw,5,4096,18.2298,18.1710,18.8218,7.5392
pooled,5,4096,320.5792,302.6604,326.6748,0.4287
raw,6,4096,20.8908,20.7760,20.9493,6.5789
pooled,6,4096,19.4395,18.9343,19.7920,7.0701
# batch 2
raw,1,4096,19.3807,18.9676,19.9744,7.0915
pooled,1,4096,269.0255,267.0383,270.7860,0.5109
raw,2,4096,20.8312,19.0455,253.5950,6.5977
pooled,2,4096,333.6139,322.4255,338.8517,0.4120
raw,3,4096,19.7824,19.2860,20.3501,6.9475
pooled,3,4096,283.8837,279.2428,287.5371,0.4841
raw,4,4096,267.8623,264.9436,272.9625,0.5131
pooled,4,4096,266.9118,261.6501,267.9065,0.5149
raw,5,4096,278.3515,264.4593,281.4320,0.4938
pooled,5,4096,20.5583,19.1849,263.4057,6.6853
raw,6,4096,19.3477,19.0404,19.7754,7.1036
pooled,6,4096,262.4191,256.2752,264.4332,0.5237
# summary: raw fast(<50ms) 6/12 (50%); pooled fast(<50ms) 2/12 (17%)
