device compute capability: compute_121
route,m,n,k,kernel,median_ms,q1_ms,q3_ms,tflops
f32_simt,512,512,512,Pipeline,0.038592,0.038273,0.038704,6.955728
f32_simt,1024,1024,1024,Pipeline,0.181329,0.180721,0.181713,11.843024
f32_simt,2048,2048,2048,Pipeline,1.169814,1.166981,1.172134,14.685984
f32_simt,4096,4096,4096,Pipeline,10.581156,10.564932,10.585140,12.989030
f32_simt,256,256,4096,Pipeline,0.161681,0.159297,0.187648,3.320557
wmma_tf32,512,512,512,wmma_tf32,0.032945,0.032832,0.033329,8.147988
wmma_tf32,1024,1024,1024,wmma_tf32,0.170241,0.169840,0.170800,12.614374
wmma_tf32,2048,2048,2048,wmma_tf32,1.202790,1.201494,1.270422,14.283349
wmma_tf32,4096,4096,4096,wmma_tf32,9.792256,9.790480,9.797472,14.035474
wmma_tf32,256,256,4096,wmma_tf32,0.172145,0.172113,0.172193,3.118713
mma_tf32,512,512,512,mma_tf32,0.032032,0.031680,0.034752,8.380228
mma_tf32,1024,1024,1024,mma_tf32,0.132384,0.132016,0.133185,16.221625
mma_tf32,2048,2048,2048,mma_tf32,0.926373,0.921541,0.928580,18.545304
mma_tf32,4096,4096,4096,mma_tf32,13.472626,12.337069,14.238102,10.201349
mma_tf32,256,256,4096,mma_tf32,0.167120,0.167024,0.167201,3.212488
mma_tf32x3,512,512,512,mma_tf32x3,0.042945,0.042912,0.043056,6.250680
mma_tf32x3,1024,1024,1024,mma_tf32x3,0.195457,0.194689,0.195889,10.986988
mma_tf32x3,2048,2048,2048,mma_tf32x3,1.322071,1.319798,1.323750,12.994665
mma_tf32x3,4096,4096,4096,mma_tf32x3,14.583480,13.903524,15.418283,9.424291
mma_tf32x3,256,256,4096,mma_tf32x3,0.180993,0.180096,0.181121,2.966252
