test ragged_shapes_all_patterns ... hfrag_parity label=ragged pattern=Nn m=60 n=68 k=36 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=682 mean_abs_diff=4.140295e-4 max_abs_diff=2.109051e-3 max_rel_err=4.770764e-1
hfrag_parity label=ragged pattern=Nt m=60 n=68 k=36 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=641 mean_abs_diff=4.196694e-4 max_abs_diff=2.058268e-3 max_rel_err=6.888951e-1
hfrag_parity label=ragged pattern=Tn m=60 n=68 k=36 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=641 mean_abs_diff=4.185899e-4 max_abs_diff=2.433419e-3 max_rel_err=2.152185e-1
hfrag_parity label=ragged pattern=Tt m=60 n=68 k=36 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=625 mean_abs_diff=3.993644e-4 max_abs_diff=2.110511e-3 max_rel_err=1.473658e0
hfrag_parity label=ragged pattern=Nn m=68 n=60 k=20 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=612 mean_abs_diff=2.956720e-4 max_abs_diff=1.491591e-3 max_rel_err=2.019795e-1
hfrag_parity label=ragged pattern=Nt m=68 n=60 k=20 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=677 mean_abs_diff=3.164436e-4 max_abs_diff=1.450062e-3 max_rel_err=5.120149e-1
hfrag_parity label=ragged pattern=Tn m=68 n=60 k=20 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=629 mean_abs_diff=3.199026e-4 max_abs_diff=1.522332e-3 max_rel_err=3.120308e-1
hfrag_parity label=ragged pattern=Tt m=68 n=60 k=20 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4080 fail_count=636 mean_abs_diff=2.995712e-4 max_abs_diff=1.455784e-3 max_rel_err=2.051996e-1
hfrag_parity label=ragged pattern=Nn m=63 n=65 k=33 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4095 fail_count=628 mean_abs_diff=3.966867e-4 max_abs_diff=2.128810e-3 max_rel_err=4.369783e-1
hfrag_parity label=ragged pattern=Nt m=63 n=65 k=33 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4095 fail_count=597 mean_abs_diff=4.033531e-4 max_abs_diff=1.809359e-3 max_rel_err=1.390172e0
hfrag_parity label=ragged pattern=Tn m=63 n=65 k=33 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4095 fail_count=635 mean_abs_diff=4.005488e-4 max_abs_diff=1.944780e-3 max_rel_err=7.503864e-1
hfrag_parity label=ragged pattern=Tt m=63 n=65 k=33 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4095 fail_count=667 mean_abs_diff=3.973965e-4 max_abs_diff=1.938701e-3 max_rel_err=9.853749e-1
test square_shapes_all_patterns ... hfrag_parity label=square pattern=Nn m=64 n=64 k=64 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4096 fail_count=643 mean_abs_diff=5.518026e-4 max_abs_diff=3.674388e-3 max_rel_err=1.744117e-1
hfrag_parity label=square pattern=Nt m=64 n=64 k=64 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4096 fail_count=674 mean_abs_diff=5.486692e-4 max_abs_diff=2.733231e-3 max_rel_err=8.583524e-1
hfrag_parity label=square pattern=Tn m=64 n=64 k=64 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4096 fail_count=676 mean_abs_diff=5.432472e-4 max_abs_diff=2.701819e-3 max_rel_err=3.726380e-1
hfrag_parity label=square pattern=Tt m=64 n=64 k=64 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=4096 fail_count=671 mean_abs_diff=5.642394e-4 max_abs_diff=2.861261e-3 max_rel_err=3.100549e-1
hfrag_parity label=square pattern=Nn m=128 n=128 k=128 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=16384 fail_count=2730 mean_abs_diff=7.877467e-4 max_abs_diff=4.050732e-3 max_rel_err=1.822222e0
hfrag_parity label=square pattern=Nt m=128 n=128 k=128 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=16384 fail_count=2662 mean_abs_diff=7.869297e-4 max_abs_diff=3.625631e-3 max_rel_err=1.503761e0
hfrag_parity label=square pattern=Tn m=128 n=128 k=128 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=16384 fail_count=2758 mean_abs_diff=7.811670e-4 max_abs_diff=4.540734e-3 max_rel_err=1.579681e0
hfrag_parity label=square pattern=Tt m=128 n=128 k=128 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=16384 fail_count=2630 mean_abs_diff=7.785900e-4 max_abs_diff=4.072666e-3 max_rel_err=1.228155e0
hfrag_parity label=square pattern=Nn m=512 n=512 k=512 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=262144 fail_count=42566 mean_abs_diff=1.567423e-3 max_abs_diff=9.197235e-3 max_rel_err=1.867124e0
hfrag_parity label=square pattern=Nt m=512 n=512 k=512 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=262144 fail_count=42642 mean_abs_diff=1.571223e-3 max_abs_diff=9.088516e-3 max_rel_err=1.951591e0
hfrag_parity label=square pattern=Tn m=512 n=512 k=512 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=262144 fail_count=42542 mean_abs_diff=1.572956e-3 max_abs_diff=1.034355e-2 max_rel_err=1.992948e0
hfrag_parity label=square pattern=Tt m=512 n=512 k=512 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=262144 fail_count=42627 mean_abs_diff=1.569611e-3 max_abs_diff=1.071882e-2 max_rel_err=1.962381e0
hfrag_parity label=square pattern=Nn m=1024 n=1024 k=1024 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=1048576 fail_count=170251 mean_abs_diff=2.220228e-3 max_abs_diff=1.352739e-2 max_rel_err=1.948264e0
hfrag_parity label=square pattern=Nt m=1024 n=1024 k=1024 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=1048576 fail_count=170387 mean_abs_diff=2.217654e-3 max_abs_diff=1.505470e-2 max_rel_err=1.987683e0
hfrag_parity label=square pattern=Tn m=1024 n=1024 k=1024 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=1048576 fail_count=169657 mean_abs_diff=2.223340e-3 max_abs_diff=1.515245e-2 max_rel_err=1.992911e0
hfrag_parity label=square pattern=Tt m=1024 n=1024 k=1024 cfg=TileConfig { bm: 32, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=1048576 fail_count=170225 mean_abs_diff=2.220986e-3 max_abs_diff=1.453614e-2 max_rel_err=1.939973e0
test tall_wide_and_k_tail_shapes_all_patterns ... hfrag_parity label=tall pattern=Nn m=2048 n=256 k=512 cfg=TileConfig { bm: 64, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=85433 mean_abs_diff=1.570881e-3 max_abs_diff=9.788811e-3 max_rel_err=1.998761e0
hfrag_parity label=tall pattern=Nt m=2048 n=256 k=512 cfg=TileConfig { bm: 64, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=84937 mean_abs_diff=1.572868e-3 max_abs_diff=9.717941e-3 max_rel_err=1.961185e0
hfrag_parity label=tall pattern=Tn m=2048 n=256 k=512 cfg=TileConfig { bm: 64, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=85211 mean_abs_diff=1.576229e-3 max_abs_diff=9.461403e-3 max_rel_err=1.897152e0
hfrag_parity label=tall pattern=Tt m=2048 n=256 k=512 cfg=TileConfig { bm: 64, bn: 32, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=85230 mean_abs_diff=1.570549e-3 max_abs_diff=1.046944e-2 max_rel_err=1.991715e0
hfrag_parity label=wide pattern=Nn m=256 n=2048 k=512 cfg=TileConfig { bm: 32, bn: 64, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=85179 mean_abs_diff=1.571652e-3 max_abs_diff=9.963036e-3 max_rel_err=1.972835e0
hfrag_parity label=wide pattern=Nt m=256 n=2048 k=512 cfg=TileConfig { bm: 32, bn: 64, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=85237 mean_abs_diff=1.568062e-3 max_abs_diff=8.921564e-3 max_rel_err=1.899752e0
hfrag_parity label=wide pattern=Tn m=256 n=2048 k=512 cfg=TileConfig { bm: 32, bn: 64, bk: 16, wm: 2, wn: 2, staged: true } strict_exact=false total=524288 fail_count=84838 mean_abs_diff=1.566866e-3 max_abs_diff=9.548187e-3 max_rel_err=1.919544e0
